**********************************
LOGGING TIME: 20180908_202326
CLIENT IP: 192.168.56.1
USERNAME: Nikhil
OS: Windows 10
*********************Neutral database**********************************
MM, 175, 61, 1537598292205
MM, 174, 50, 16
MM, 174, 45, 7
MM, 178, 1, 122
MM, 35, 22, 271
MM, 26, 15, 17
MM, 20, 10, 14
MM, 18, 9, 16
MM, 19, 9, 8
MM, 19, 14, 25
MM, 19, 13, 24
MM, 19, 12, 16
MM, 19, 12, 16
MM, 19, 14, 8
MM, 20, 15, 9
MM, 20, 14, 15
MM, 19, 14, 88
MM, 19, 13, 121
MM, 18, 13, 6184
MM, 17, 13, 144
MM, 17, 14, 32
MM, 12, 18, 24
MM, 4, 26, 24
MM, 111, 29, 568
MM, 111, 27, 23
MM, 111, 26, 8
MM, 111, 25, 15
MM, 112, 25, 154
MM, 113, 24, 264
MM, 77, 21, 40
MM, 75, 18, 10
MM, 74, 17, 5478
MM, 73, 15, 16
MM, 72, 14, 35
MM, 68, 10, 20
MM, 65, 7, 16
MM, 65, 8, 80
MM, 67, 15, 26
MM, 76, 27, 22
MM, 101, 3, 33
MM, 117, 19, 24
MC, 1, 773
MM, 68, 1, 20947
MM, 70, 13, 31
MM, 71, 22, 27
MM, 71, 24, 28
MM, 71, 25, 74
MM, 71, 28, 20
MM, 71, 29, 8
MC, 1, 418
MM, 76, 18, 2178
MM, 82, 8, 5
MM, 222, 4, 1978
MM, 222, 11, 6
MM, 220, 20, 12
MM, 220, 25, 7
MM, 220, 34, 14
MM, 219, 42, 15
MM, 218, 47, 12
MM, 218, 49, 7
MM, 215, 63, 60
MM, 4, 4, 618
MM, 2, 11, 7
MM, 1, 16, 10
MM, 43, 10, 39
MM, 41, 16, 16
MM, 41, 19, 8
MM, 41, 24, 16
MM, 63, 40, 88
MM, 10, 34, 479
MM, 10, 27, 8
MM, 23, 27, 8
MM, 26, 20, 8
MM, 27, 11, 8
MM, 26, 2, 8
MM, 35, 28, 16
MM, 34, 21, 8
MM, 33, 14, 8
MM, 33, 10, 8
MM, 33, 6, 8
MM, 33, 3, 8
MM, 33, 31, 24
MM, 37, 2, 72
MM, 237, 61, 1090
MM, 238, 57, 6
MM, 239, 52, 8
MM, 247, 6, 217
MM, 247, 8, 14
MM, 248, 9, 82
MM, 246, 9, 664
MM, 246, 10, 207
MM, 246, 11, 16
MM, 245, 11, 16
MM, 245, 12, 25
MM, 246, 12, 24
MM, 247, 13, 8
MM, 249, 14, 8
MM, 250, 15, 15
MM, 268, 24, 48
MM, 277, 28, 8
MM, 287, 34, 8
MM, 296, 38, 8
MM, 303, 43, 8
MM, 309, 48, 8
MM, 315, 52, 8
MM, 320, 56, 9
MM, 324, 60, 8
MM, 327, 62, 9
MM, 7, 0, 3839
MM, 6, 2, 8
MM, 6, 4, 52
MM, 6, 5, 3
MM, 5, 6, 8
MM, 5, 7, 17
MM, 4, 8, 16
MM, 4, 9, 8
MM, 3, 9, 7
MM, 3, 10, 8
MM, 2, 10, 8
MM, 41, 0, 425
MM, 37, 2, 8
MM, 36, 3, 16
MM, 35, 3, 16
MM, 30, 11, 81
MM, 30, 12, 24
MM, 30, 13, 15
MM, 29, 13, 449
MM, 28, 10, 63
MM, 28, 8, 16
MM, 28, 7, 15
MM, 27, 5, 16
MM, 26, 4, 16
MM, 26, 3, 8
MM, 40, 31, 179
MM, 78, 55, 103
MM, 75, 43, 23
MM, 72, 35, 17
MM, 69, 23, 23
MM, 66, 16, 16
MM, 64, 8, 16
MM, 62, 5, 8
MM, 60, 0, 8
MC, 1, 8071
MP, 1, 26250
MR, 1, 216
MC, 1, 0
MM, 36, 0, 143
MM, 36, 2, 12
MC, 1, 417
MM, 32, 0, 493
MM, 1, 35, 489
MM, 7, 41, 22
MM, 14, 48, 23
MM, 17, 52, 8
MM, 23, 57, 15
MM, 26, 60, 16
MM, 27, 61, 16
MM, 28, 61, 9
MM, 29, 61, 7
MM, 31, 63, 17
MM, 33, 63, 8
MM, 9, 2, 104
MM, 17, 10, 16
MM, 21, 14, 8
MM, 26, 20, 16
MM, 28, 21, 8
MM, 31, 24, 16
MM, 33, 26, 16
MM, 35, 27, 8
MM, 37, 28, 16
MM, 38, 29, 8
MM, 40, 30, 16
MM, 42, 30, 16
MM, 43, 30, 8
MM, 0, 29, 105
MM, 2, 27, 23
MM, 3, 25, 16
MM, 3, 23, 8
MM, 3, 22, 16
MM, 4, 22, 56
MM, 5, 21, 16
MM, 8, 21, 9
MM, 13, 20, 16
MM, 19, 20, 14
MM, 20, 20, 9
MM, 21, 20, 9
MM, 22, 21, 95
MM, 22, 22, 41
MM, 17, 22, 127
MM, 17, 21, 8
MM, 43, 19, 97
MM, 33, 19, 31
MM, 25, 19, 25
MM, 23, 19, 6
MM, 21, 19, 16
MM, 20, 19, 9
MM, 18, 19, 24
MM, 17, 19, 16
MM, 15, 20, 8
MM, 12, 20, 8
MM, 5, 20, 16
MM, 3, 20, 7
MM, 0, 20, 16
MM, 42, 20, 48
MM, 39, 19, 8
MM, 34, 19, 8
MM, 29, 18, 17
MM, 28, 18, 8
MM, 27, 18, 7
MM, 26, 18, 9
MM, 25, 18, 24
MC, 1, 248
MM, 26, 18, 64
MM, 28, 18, 16
MM, 30, 18, 7
MM, 32, 19, 8
MM, 35, 21, 9
MM, 39, 23, 8
MM, 3, 31, 15
MM, 2, 4, 89
MM, 9, 10, 7
MM, 25, 21, 16
MM, 31, 28, 8
MM, 2, 3, 18
MM, 24, 14, 16
MM, 37, 24, 6
MM, 156, 5, 25
MM, 194, 31, 88
MM, 196, 32, 8
MM, 199, 35, 16
MM, 200, 35, 8
MM, 201, 36, 7
MM, 203, 36, 17
MM, 204, 36, 24
MM, 204, 35, 24
MM, 206, 34, 8
MM, 207, 34, 8
MM, 208, 33, 8
MM, 210, 34, 16
MM, 209, 37, 8
MM, 209, 36, 24
MM, 209, 35, 8
MM, 210, 34, 16
MM, 211, 34, 8
MM, 214, 33, 8
MM, 216, 32, 7
MM, 218, 31, 16
MM, 219, 31, 8
MM, 220, 28, 8
MM, 0, 28, 330
MM, 2, 26, 16
MM, 2, 20, 8
MM, 3, 17, 95
MM, 3, 15, 48
MM, 3, 14, 24
MM, 5, 17, 55
MM, 5, 16, 8
MM, 6, 17, 8
MC, 1, 129
MM, 4, 16, 7
MM, 3, 16, 41
MM, 3, 17, 8
MM, 2, 17, 7
MM, 0, 17, 9
