**********************************
LOGGING TIME: 20180923_154316
CLIENT IP: 192.168.56.1
USERNAME: Nikhil
OS: Windows 10
*********************Neutral database**********************************
MM, 15, 31, 1537598292273
MM, 15, 27, 15
MM, 15, 23, 16
MM, 14, 19, 17
MM, 14, 17, 8
MM, 14, 12, 15
MM, 14, 2, 31
MM, 114, 55, 40
MM, 114, 50, 8
MM, 114, 45, 8
MM, 116, 41, 8
MM, 116, 38, 8
MM, 116, 36, 8
MM, 117, 33, 9
MM, 118, 30, 8
MM, 120, 26, 8
MM, 120, 21, 7
MM, 122, 18, 9
MM, 124, 12, 8
MM, 127, 6, 7
MM, 130, 0, 9
MM, 160, 29, 6500
MM, 158, 26, 7
MM, 157, 25, 8
MM, 155, 23, 8
MM, 153, 22, 9
MM, 153, 21, 8
MM, 151, 20, 7
MM, 140, 9, 80
MM, 139, 7, 9
MM, 137, 4, 8
MM, 136, 3, 7
MM, 135, 1, 8
MM, 131, 0, 178
MM, 131, 3, 15
MM, 131, 7, 26
MM, 131, 11, 23
MM, 131, 12, 8
MC, 1, 230
MM, 131, 14, 5687
MM, 132, 14, 352
MM, 139, 14, 23
MM, 1, 17, 40
MM, 56, 18, 24
MP, 1, 409
MR, 1, 109
MC, 1, 5765
MM, 364, 3, 18542
MM, 352, 17, 71
MM, 352, 19, 15
MM, 350, 20, 16
MM, 349, 21, 63
MM, 349, 22, 49
MM, 349, 23, 32
MC, 1, 144
MM, 347, 24, 96
MM, 346, 27, 17
MM, 344, 35, 23
MM, 344, 38, 8
MM, 344, 46, 16
MM, 344, 52, 8
MM, 344, 55, 8
MM, 345, 62, 16
MC, 1, 767
MM, 22, 0, 140
MM, 20, 8, 13
MM, 19, 15, 16
MM, 19, 20, 15
MM, 18, 24, 9
MM, 17, 30, 7
MM, 34, 2, 24
MM, 34, 3, 8
MM, 34, 7, 8
MM, 30, 29, 80
MM, 32, 0, 37
MM, 31, 2, 7
MM, 31, 4, 8
MM, 31, 6, 9
MM, 30, 8, 7
MM, 29, 9, 8
