********************************************************************************
LOGGING TIME: 20181002_103651
CLIENT IP: 10.109.59.64
USERNAME: Rahul
OS: Windows 10
ARCHITECTURE: amd64
VERSION: 10.0
RESOLUTION: 1366.0 768.0
********************************************************************************
MM, 934, 358, 1537598300328
MM, 940, 361, 31
MM, 942, 362, 0
MM, 945, 363, 16
MM, 948, 357, 47
MM, 949, 343, 15
MM, 949, 329, 0
MM, 948, 319, 16
MM, 945, 308, 15
MM, 942, 301, 16
MM, 940, 298, 16
MM, 938, 298, 203
MM, 933, 298, 15
MM, 924, 298, 16
MM, 913, 298, 16
MM, 904, 296, 15
MM, 891, 291, 0
MM, 882, 287, 16
MM, 877, 284, 16
MM, 875, 283, 15
MM, 873, 282, 16
MM, 873, 284, 31
MM, 871, 295, 16
MM, 870, 307, 15
MM, 870, 325, 0
MM, 870, 338, 16
MM, 870, 349, 15
MM, 870, 357, 16
MM, 870, 361, 16
MM, 870, 362, 15
MM, 857, 357, 1037473
MM, 718, 290, 16
MM, 334, 152, 31
MM, 305, 137, 0
MM, 320, 373, 276
MM, 320, 380, 0
MM, 320, 384, 16
MM, 327, 372, 32
MM, 341, 339, 16
MM, 354, 310, 16
MM, 359, 293, 0
MM, 361, 286, 21
MM, 362, 283, 16
MM, 362, 282, 5
MM, 362, 283, 31
MM, 360, 288, 16
MM, 359, 293, 15
MM, 359, 297, 16
MM, 359, 301, 16
MM, 359, 304, 15
MM, 359, 306, 0
MM, 360, 307, 16
MM, 361, 308, 16
MM, 364, 310, 187
MM, 374, 319, 16
MM, 402, 345, 15
MM, 444, 385, 16
MM, 480, 420, 0
MM, 501, 445, 15
MM, 509, 455, 16
MM, 516, 462, 16
MM, 519, 466, 15
MM, 521, 469, 0
MM, 523, 471, 16
MM, 529, 477, 16
MM, 538, 485, 15
MM, 548, 495, 16
MM, 560, 504, 16
MM, 569, 513, 0
MM, 571, 514, 203
MM, 576, 520, 15
MM, 594, 545, 16
MM, 627, 596, 16
MM, 658, 652, 15
MM, 682, 697, 0
MM, 701, 730, 16
MM, 714, 746, 15
MM, 724, 754, 16
MM, 735, 761, 16
MM, 751, 766, 0
MM, 763, 767, 15
MM, 776, 767, 16
MM, 787, 765, 16
MM, 798, 759, 15
MM, 807, 751, 0
MM, 816, 738, 16
MM, 823, 727, 15
MM, 828, 717, 16
MM, 831, 710, 16
MM, 831, 706, 15
MM, 839, 706, 203
MM, 868, 707, 16
MM, 940, 720, 16
MM, 1039, 740, 15
MM, 1090, 752, 16
MM, 1107, 757, 0
MM, 1121, 763, 15
MM, 1132, 767, 16
MM, 1140, 770, 16
MM, 1143, 768, 15
MM, 1145, 768, 0
MM, 1147, 769, 16
MM, 1148, 767, 16
MM, 1148, 767, 15
MM, 1149, 767, 16
MM, 1150, 767, 15
MM, 1151, 768, 32
MM, 1153, 768, 15
MM, 1155, 767, 16
MM, 1161, 770, 0
MM, 1166, 770, 16
MM, 1172, 769, 15
MM, 1182, 771, 16
MM, 1192, 772, 15
MM, 1199, 769, 0
MM, 1203, 768, 16
MM, 1206, 768, 16
MM, 1209, 767, 15
MM, 1209, 766, 63
MM, 1209, 764, 16
MM, 1209, 760, 15
MM, 1209, 756, 0
MM, 1209, 753, 16
MM, 1209, 750, 15
MM, 1209, 748, 16
MM, 1209, 748, 16
MM, 1209, 746, 0
MM, 1209, 745, 15
MM, 1209, 745, 16
MM, 1209, 744, 16
MM, 1209, 744, 31
MP, 1, 453
MR, 1, 141
MC, 1, 0
MM, 1207, 742, 1343
MM, 1204, 737, 16
MM, 1197, 730, 16
MM, 1185, 716, 15
MM, 1167, 693, 16
MM, 1144, 665, 0
MM, 1122, 637, 15
MM, 1106, 615, 16
MM, 1094, 597, 16
MM, 1089, 586, 15
MM, 1087, 580, 16
MM, 1086, 577, 0
MM, 1086, 575, 15
MM, 1086, 575, 16
MM, 1086, 575, 47
MM, 1091, 576, 16
MM, 1095, 577, 15
MM, 1099, 578, 16
MM, 1105, 580, 0
MM, 1109, 580, 15
MM, 1113, 580, 16
MM, 1119, 579, 16
MM, 1122, 578, 15
MM, 1126, 577, 16
MM, 1128, 576, 0
MM, 1129, 575, 16
MM, 1130, 575, 15
MM, 1131, 574, 16
MM, 1132, 574, 16
MM, 1132, 574, 0
MM, 1133, 574, 15
MM, 1134, 574, 16
MM, 1135, 574, 15
MM, 1136, 574, 16
MM, 1136, 574, 0
MM, 1138, 576, 16
MM, 1140, 579, 15
MM, 1143, 583, 16
MM, 1145, 587, 16
MM, 1147, 593, 15
MM, 1150, 600, 0
MM, 1153, 606, 16
MM, 1156, 609, 15
MM, 1157, 612, 16
MM, 1158, 613, 16
MM, 1158, 614, 0
MM, 1159, 614, 15
MM, 1161, 616, 16
MM, 1165, 618, 16
MM, 1180, 628, 15
MM, 1197, 641, 0
MM, 1217, 658, 16
MM, 1237, 673, 15
MM, 1251, 683, 16
MM, 1261, 691, 16
MM, 1267, 697, 0
MM, 1272, 701, 15
MM, 1275, 705, 16
MM, 1277, 707, 16
MP, 1, 265
MR, 1, 125
MC, 1, 0
MM, 1276, 707, 12399376
MM, 1254, 709, 16
MM, 1107, 740, 0
MM, 958, 793, 15
MM, 814, 827, 16
MM, 770, 803, 16
MM, 709, 823, 15
MM, 676, 806, 0
MM, 661, 787, 16
MM, 656, 776, 16
MM, 656, 771, 15
MM, 659, 770, 16
MM, 690, 769, 0
MM, 769, 762, 15
MM, 865, 744, 16
MM, 962, 722, 16
MM, 1011, 706, 15
MM, 1044, 696, 0
MM, 1065, 691, 16
MM, 1078, 689, 16
MM, 1088, 689, 15
MM, 1094, 689, 16
MM, 1100, 689, 15
MM, 1103, 689, 0
MM, 1104, 689, 16
MM, 1105, 690, 16
MM, 1106, 690, 15
