**********************************
LOGGING TIME: 20161112_211038
CLIENT IP: 192.168.88.1
USERNAME: Ramola
OS: Windows 8.1
*********************Neutral database**********************************
MM, 29, 4, 12
MM, 30, 4, 12
MM, 31, 4, 24
MM, 32, 6, 12
MM, 0, 19, 25
MM, 4, 24, 13
MC, 1, 780
MM, 28, 14, 293
MM, 333, 45, 37
MM, 297, 17, 12
MC, 1, 744
MM, 16, 23, 4231
MM, 13, 8, 12
MM, 173, 13, 24
MM, 63, 1, 329
MM, 63, 8, 12
MM, 11, 15, 62
MM, 15, 20, 12
MM, 18, 23, 12
MM, 19, 23, 12
MM, 19, 22, 122
MM, 19, 21, 13
MM, 19, 20, 12
MM, 19, 19, 60
MM, 20, 19, 37
MM, 20, 18, 85
MM, 480, 62, 2756
MM, 436, 62, 12
MM, 404, 49, 12
MM, 366, 32, 12
MM, 322, 17, 12
MM, 293, 1, 13
MC, 1, 732
MM, 41, 27, 1853
MM, 41, 26, 12
MM, 41, 24, 12
MM, 41, 23, 25
MM, 41, 22, 12
MM, 41, 21, 24
MM, 41, 22, 48
MM, 41, 24, 12
MM, 41, 26, 14
MM, 41, 23, 85
MM, 79, 14, 279
MM, 46, 10, 13
MM, 3, 0, 12
MM, 5, 27, 25
MM, 1, 8, 476
MM, 39, 9, 353
MM, 25, 23, 12
MC, 1, 1755
MC, 2, 537
MM, 34, 21, 256
MM, 2, 30, 13
MM, 40, 23, 12
MM, 83, 34, 12
MM, 60, 14, 8243
MM, 54, 9, 13
MM, 52, 8, 12
MM, 49, 6, 13
MM, 47, 6, 231
MM, 41, 6, 12
MM, 32, 6, 12
MM, 26, 6, 12
MM, 17, 6, 13
MM, 0, 5, 12
MM, 164, 0, 12
MM, 122, 26, 49
MM, 118, 18, 12
MM, 117, 13, 12
MM, 115, 8, 13
MM, 115, 6, 12
MM, 115, 5, 12
MM, 115, 4, 12
MM, 115, 3, 243
MM, 110, 0, 13
MM, 7, 17, 354
MM, 7, 16, 25
MM, 7, 15, 72
MM, 8, 14, 25
MM, 8, 13, 37
MC, 1, 378
MM, 8, 14, 499
MM, 116, 0, 61
MM, 107, 1, 36
MM, 6, 6, 25
MM, 34, 11, 12
MM, 1, 5, 13
MM, 0, 3, 195
MM, 38, 20, 12
MM, 97, 27, 403
MM, 100, 18, 12
MM, 104, 8, 12
MM, 107, 3, 12
MM, 108, 0, 13
MM, 108, 25, 46
MM, 108, 16, 27
MM, 108, 9, 12
MM, 108, 3, 12
MM, 23, 17, 159
MM, 22, 15, 12
MM, 22, 14, 12
MM, 22, 13, 12
MM, 21, 12, 143
MM, 19, 12, 28
MM, 18, 11, 12
MM, 16, 11, 12
MM, 15, 11, 12
MM, 14, 11, 12
MM, 13, 11, 12
MM, 11, 11, 13
MM, 8, 11, 12
MM, 7, 11, 24
MC, 1, 1001
MM, 6, 11, 451
MM, 5, 13, 12
MM, 2, 15, 12
MM, 0, 17, 12
MM, 47, 0, 219
MM, 46, 2, 13
MM, 45, 4, 12
MM, 45, 5, 13
MM, 44, 7, 12
MM, 44, 8, 25
MM, 44, 9, 12
MM, 43, 9, 36
MM, 42, 9, 183
MM, 42, 10, 13
MM, 42, 11, 49
MC, 1, 390
MM, 45, 14, 328
MM, 61, 19, 12
MM, 79, 28, 13
MM, 331, 9, 1146
MM, 357, 26, 12
MM, 359, 29, 281
MM, 362, 31, 12
MM, 364, 35, 12
MM, 366, 38, 12
MM, 376, 52, 12
MM, 0, 11, 61
MM, 6, 11, 306
MM, 11, 11, 12
MM, 16, 11, 12
MM, 19, 11, 13
MM, 22, 11, 12
MM, 24, 12, 13
MM, 25, 12, 12
MM, 27, 13, 12
MM, 29, 14, 12
MM, 30, 15, 12
MM, 31, 15, 12
MM, 33, 15, 12
MC, 1, 342
MM, 30, 15, 353
MM, 15, 13, 12
MM, 22, 2, 12
MM, 183, 61, 49
MM, 142, 56, 12
MM, 123, 56, 12
MM, 114, 56, 12
MM, 108, 59, 12
MM, 105, 59, 257
MM, 100, 59, 12
MM, 91, 54, 12
MM, 73, 53, 12
MM, 56, 49, 12
MM, 43, 47, 13
MM, 34, 47, 12
MM, 27, 46, 12
MM, 23, 46, 12
MM, 19, 46, 13
MM, 9, 46, 12
MM, 5, 46, 196
MM, 1, 46, 12
