********************************************************************************
LOGGING TIME: 20161113_185505
CLIENT IP: 10.145.109.205
USERNAME: prudhvi
OS: Windows 8
**********************************Emotional database********************************************************************************
MM, 919, 41, 1477469039262
MM, 826, 86, 12
MM, 727, 144, 13
MM, 708, 157, 12
MM, 665, 182, 13
MM, 645, 205, 12
MM, 634, 218, 13
MM, 628, 224, 13
MM, 360, 1, 12
MM, 357, 5, 12
MM, 356, 7, 252
MM, 353, 8, 12
MM, 348, 11, 13
MM, 338, 19, 12
MM, 329, 25, 13
MM, 323, 31, 12
MM, 320, 34, 13
MM, 318, 36, 13
MM, 318, 37, 12
MM, 317, 37, 13
MM, 317, 38, 25
MC, 1, 302
MM, 316, 38, 415
MM, 536, 318, 100
MM, 534, 320, 12
MM, 534, 322, 12
MM, 534, 323, 15
MM, 533, 323, 186
MM, 530, 324, 14
MM, 524, 329, 12
MM, 506, 344, 13
MM, 209, 26, 12
MM, 184, 59, 13
MM, 177, 69, 12
MM, 173, 78, 13
MM, 170, 88, 12
MM, 431, 453, 13
MM, 431, 458, 12
MM, 431, 463, 13
MM, 429, 463, 264
MM, 424, 463, 12
MM, 23, 2, 13
MM, 386, 477, 13
MM, 6, 22, 12
MM, 347, 490, 13
MM, 32, 26, 12
MM, 30, 26, 13
MM, 28, 27, 12
MM, 26, 27, 12
MM, 25, 27, 25
MM, 24, 27, 277
MM, 23, 27, 13
MM, 22, 27, 13
MM, 20, 27, 12
MM, 18, 27, 12
MM, 17, 27, 13
MM, 15, 27, 12
MM, 14, 27, 25
MM, 14, 28, 76
MM, 15, 28, 12
MM, 17, 30, 13
MM, 328, 497, 13
MM, 331, 499, 11
MM, 25, 1, 13
MM, 27, 2, 14
MM, 30, 6, 12
MM, 31, 8, 12
MM, 29, 8, 302
MM, 27, 8, 12
MM, 24, 7, 12
MM, 20, 3, 14
MM, 324, 500, 12
MM, 12, 30, 12
MM, 10, 26, 13
MM, 9, 23, 13
MM, 8, 20, 12
MM, 8, 19, 12
MM, 8, 18, 13
MM, 8, 17, 12
MM, 9, 17, 1835
MM, 9, 16, 1029
MM, 11, 11, 14
MM, 14, 3, 12
MM, 328, 454, 12
MM, 69, 87, 14
MM, 73, 79, 12
MM, 78, 70, 12
MM, 83, 62, 13
MM, 87, 57, 12
MM, 91, 53, 13
MM, 94, 50, 13
MM, 96, 48, 13
MM, 100, 46, 12
MM, 102, 44, 12
MM, 102, 43, 202
MM, 103, 39, 12
MM, 103, 32, 12
MM, 104, 13, 13
MM, 370, 337, 12
MM, 370, 324, 13
MM, 370, 319, 13
MM, 370, 316, 12
MM, 370, 314, 13
MM, 370, 311, 12
